Escolas_Postos,BAIRRO,ENDEREÇO ,lat,long
EM GUATEMALA,BAIRRO DE FÁTIMA,Praça Presidente Aguirre Cerda 55,-22.918178,-43.188367
CIEP HENFIL,CAJU,Rua Carlos Seidl S/Nº,-22.880888,-43.225326
EM ALICE DO AMARAL PEIXOTO,BENFICA,Rua Ébano 187,-22.889574,-43.236202
EM BENJAMIN CONSTANT,SANTO CRISTO,"R. Monte Alegre, 255",-22.89997,-43.205479
EM CELESTINO SILVA,CENTRO,"R. do Lavradio, 56",-22.909293,-43.183579
ESCOLA MUNICIPAL FLORIANO PEIXOTO,SÃO CRISTÓVÃO,Praça Argentina 20,-22.897629,-43.227456
EM JOAQUIM MANOEL DE MACEDO,PAQUETÁ,R. Tomás Cerqueira,-22.753151,-43.109534
EM PEREIRA PASSOS,RIO COMPRIDO,Praça Condessa Paulo de Frontin 45,-22.924412,-43.208579
EM SANTA CATARINA,SANTA TERESA,Rua Eduardo Santos 38,-22.915535,-43.191588
E.M TIA CIATA,CENTRO,Avenida Presidente Vargas S/Nº,-22.907123,-43.195068
EM URUGUAI,BENFICA,Rua Ana Néri 192,-22.898488,-43.237756
EM VICENTE LICÍNIO CARDOSO,SAUDE,Rua Edgar Gordilho 63,-22.896988,-43.183707
EM MARIO CLAUDIO,RIO COMPRIDO,"R. Haddock Lobo, 148",-22.917233,-43.211044
CIEP PRESIDENTE AGOSTINHO NETO,HUMAITA,Rua Visconde de Silva s/nº,-22.959167,-43.199723
CIEP TANCREDO NEVES,CATETE,Rua do Catete 77,-22.922785,-43.176685
EM ALBERTO BARTH,FLAMENGO,Avenida Oswaldo Cruz 124,-22.940711,-43.17647
EM ALENCASTRO GUIMARÃES,COPACABANA,Rua Tonelero 21,-22.964691,-43.180965
EM CASTELNUOVO,COPACABANA,Rua Francisco Otaviano 105,-22.98735,-43.191996
EM CÍCERO PENA,COPACABANA,"Av. Atlântica, 1976",-22.968647,-43.181139
EM CÓCIO BARCELOS,COPACABANA,"R. Barão de Ipanema, 34",-22.974828,-43.189063
EM HENRIQUE DODSWORTH,IPANEMA,Avenida Epitácio Pessoa 474,-22.981955,-43.213579
EM JOAQUIM NABUCO,BOTAFOGO,Rua Dona Mariana 148,-22.954406,-43.188154
EM JOSÉ DE ALENCAR,LARANJEIRAS,Rua das Laranjeiras 397,-22.937122,-43.189869
EM MÉXICO,BOTAFOGO,Rua da Matriz 67,-22.952706,-43.191761
ESCOLA MUNICIPAL MINAS GERAIS,URCA,Avenida Pasteur 433,-22.953822,-43.168885
EM PRESIDENTE DA COSTA E SILVA,BOTAFOGO,"Rua Assunção, 257",-22.945558,-43.186591
E.M PRESIDENTE JOSE LINHARES,IPANEMA,"R. Barão da Torre, 90",-22.983332,-43.199036
EM SÃO TOMAS DE AQUINO,LEME,R. São Tomás de Aquino,-22.961546,-43.164981
EM SENADOR CORREA,LARANJEIRAS,R. Sen. Corrêa,-22.933989,-43.181011
CIEP SAMUEL WEINER,TIJUCA,"Av Heitor Beltrão, s/nº",-22.921274,-43.227998
EM AFRANIO PEIXOTO,ANDARAÍ,"R. Ferreira Pontes, 328",-22.926855,-43.254913
EM ARAÚJO PORTO ALEGRE,ALTO DA BOA VISTA,"Estr. Velha da Tijuca, 181",-22.947972,-43.258095
E.M AZEVEDO SODRÉ,PRAÇA DA BANDEIRA,Rua Barão De Ubá 331,-22.915447,-43.211091
EM BAPTISTA PEREIRA,ANDARAÍ,"R. Silva Téles, 65",-22.922375,-43.243687
EM CONSELHEIRO MAYRINK,MARACANÃ,Pça. General Portinho 2,-22.914467,-43.223996
EM DUQUE DE CAXIAS,GRAJAÚ,"R. Mal. Jofre, 74",-22.918541,-43.26509
ESCOLA MUNICIPAL EQUADOR,VILA ISABEL,"Boulevard 28 De Setembro, 353",-22.916152,-43.247048
EM FRANCISCO CAMPOS,GRAJAÚ,Rua Nossa Senhora De Lourdes 175,-22.921896,-43.257756
EM LAUDIMIA TROTTA,TIJUCA,"R. Antônio Basílio, 370",-22.926842,-43.237889
EM MATA MACHADO,ALTO DA BOA VISTA,"Estrada de Furnas, próximo ao nº 1.467",-22.974449,-43.285333
EM PRUDENTE DE MORAES,TIJUCA,Rua Enes de Sousa 36,-22.92906,-43.232871
EM SOARES PEREIRA,TIJUCA,Avenida Maracanã 1450,-22.932529,-43.243118
EM ALMIRANTE BARROSO,TIJUCA,"R. Homem de Melo, 302",-22.934274,-43.239026
ESCOLA MUNICIPAL GENERAL HUMBERTO DE SOUZA MELLO,MARACANÃ/ VILA ISABEL,"R. Oito de Dezembro, 275",-22.909823,-43.239393
ESCOLA MUNICIPAL BARÃO HOMEM DE MELO,MARACANÃ/ TIJUCA,"R. Alm. João Cândido Brasil, 352",-22.916829,-43.236925
EM ALMIRANTE TAMANDARÉ,VIDIGAL,Avenida Presidente João Goulart 296,-22.993697,-43.235579
EM DESEMBARGADOR OSCAR TENÓRIO,GÁVEA,Rua Professor Manuel Ferreira 141,-22.977526,-43.227962
EM LÚCIA MIGUEL PEREIRA,SÃO CONRADO,Rua Martagão Gesteira S/N°,-22.997417,-43.272181
EM RINALDO DELAMARE,SÃO CONRADO,Avenida Niemeyer 776,-22.993546,-43.252896
EM SANTOS ANJOS,LEBLON,Rua Humberto De Campos s/n°,-22.981559,-43.217029
EM SERGIO VIEIRA DE MELLO,LEBLON,Rua Adalberto Ferreira 19,-22.979382,-43.222667
EM SHAKESPEARE,JARDIM BOTÂNICO,Rua Jardim Botânico 563 fundos,-22.963151,-43.216267
EM ALAGOAS,PILARES,Av. Dom Hélder Câmara 6742,-22.881338,-43.294091
EM BOLIVAR,ENGENHO DE DENTRO,"R. José dos Reis, 466",-22.891146,-43.294279
EM BRIGADEIRO FARIA LIMA,ÁGUA SANTA,Rua Violeta S/Nº,-22.906272,-43.307919
EM DELFIM MOREIRA,ROCHA,Pça. Ubajara 28,-22.893764,-43.252538
EM FELIX PACHECO,PIEDADE,"R. Assis Carneiro, 649",-22.895086,-43.313826
EM FRANÇA,PIEDADE,Avenida Canal S/N°,-22.879862,-43.314224
ESCOLA MUNICIPAL GEORGE SUMMER,RIACHUELO,R. Ana Neri,-22.900704,-43.255408
EM JEAN MERMOZ,CACHAMBI,Rua São Gabriel 261,-22.886813,-43.273394
EM MACEDO SOARES,LINS DE VASCONCELOS,Rua Mário Piragibe 41,-22.909547,-43.284467
E.M NOSSA SENHORA DA POMPÉIA,TODOS OS SANTOS,"R. Cirne Maia, 109",-22.892031,-43.279925
EM PROFESSOR AUGUSTO PAULINO,MEIER,Rua Cônego Tobias 116,-22.904163,-43.28033
EM REPÚBLICA DO PERU,MEIER,Rua Arquias Cordeiro 508,-22.89889,-43.280405
EM RIO GRANDE DO SUL,ENGENHO DE DENTRO,"Rua Adolfo Bergamini, 201",-22.900341,-43.29594
E.M. SARMIENTO,ENGENHO NOVO,Rua Vinte Quatro de Maio 931,-22.903031,-43.267883
EM TAGORE,PIEDADE,Pça. Frederico Duval S/Nº,-22.887661,-43.302467
EM TOBIAS BARRETO,ENCANTADO,Rua Pompilio de Albuquerque 62,-22.897301,-43.302734
EM FRANCISCO JOBIM,TODOS OS SANTOS,Rua Adriano 310,-22.902612,-43.290609
CIEP CHANCELER WILLY BRANDT,JACARÉ,Rua Álvaro Seixas S/Nº,-22.894178,-43.263847
CIEP PATRICE LUMUMBA,DEL CASTILHO,"Praça Da Confederação Suíça, s/nº",-22.878355,-43.274889
CIEP VINÍCIUS DE MORAES,JACARÉ,Av. Dom Hélder Câmara 1715,-22.885318,-43.254104
EM ANTONIO PEREIRA,TOMÁS COELHO,Rua Moacir de Almeida 771,-22.871046,-43.310238
EM DOMINGOS BEBIANO,INHAUMA,Estr. Adhemar Bebiano 1870,-22.873892,-43.277712
EM JOAQUIM RIBEIRO,INHAUMA,Pça. Soldado Cosme dos Santos 28,-22.87757,-43.285628
EM MARECHAL ESTÊVÃO LEITÃO DE CARVALHO,ENGENHO DA RAINHA,Av. Pastor Martin Luther King 3217,-22.868717,-43.296693
EM MINISTRO OROSIMBO NONATO,HIGIENÓPOLIS,Rua Darke de Matos 152,-22.872868,-43.262799
EM OLAVO JOSINO SALES,INHAUMA,Rua Guarapuava s/nº,-22.87044,-43.286073
EM PERNAMBUCO,MARIA DA GRAÇA,Rua Conde de Azambuja 579,-22.884179,-43.262622
ESCOLA MUNICIPAL ALBINO SOUZA CRUZ,MANGUINHOS,Av. Dos Democráticos 268,-22.880986,-43.253246
EM ANDRADE NEVES,JARDIM AMÉRICA,Rua Viana Do Castelo. S/Nº,-22.809448,-43.326292
EM ARY QUINTELLA,PENHA CIRCULAR,Rua Eng. Moreira Lima 54,-22.839412,-43.300069
EM BERLIM,OLARIA,Pça. Ramos Figueira 20,-22.847791,-43.261444
EM BERNARDO VASCONCELOS,PENHA,"Pça. Santa Rosalia, 100",-22.845629,-43.284007
EM BRANT HORTA,PENHA CIRCULAR,"Rua Bento Cardoso, 130",-22.835668,-43.288156
EM CARDEAL CAMARA,PARADA DE LUCAS,"R. Anamá, 98",-22.81527,-43.303566
EM CHILE,OLARIA,Pça. Belmonte 15,-22.84858,-43.268589
EM CIENTISTA MÁRIO KROEFF,PENHA,"Rua Do Couto, 91",-22.838964,-43.27517
EM DILERMANDO CRUZ,RAMOS,"Av. Teixeira de Castro, 407",-22.853868,-43.252451
EM EMBAIXADOR BARROS HURTADO,CORDOVIL,"Rua General Carvalho, 702",-22.827038,-43.306485
E.M JOÃO DE DEUS,PENHA CIRCULAR,Pça. Almeida Garret S/Nº,-22.829946,-43.282108
EM JOSEPH BLOCH,PARADA DE LUCAS,Rua Álvaro De Macedo 77,-22.817846,-43.303586
EM MINISTRO PLÍNIO CASADO,BRÁS DE PINA,Rua Pequiri 237,-22.834806,-43.293809
EM NERVAL DE GOUVEIA,RAMOS,Estrada do Engenho Da Pedra 528,-22.845126,-43.253783
EM PROFESSOR CARNEIRO RIBEIRO,RAMOS,"Rua Professor Lacé, 437",-22.855627,-43.261768
EM PADRE MANUEL DE NOBREGA,VIGÁRIO GERAL,"Praça Elba, 1215",-22.857137,-43.264165
EM RORAIMA,CORDOVIL,"Estrada Porto Velho, 50",-22.823328,-43.295461
EM SAO PAULO,BRÁS DE PINA,Rua Tailândia 160,-22.827137,-43.287698
CIEP ELIS REGINA,BONSUCESSO,Rua Principal S/N.º,-22.857829,-43.240452
EM BAHIA,BONSUCESSO,Av. Guilherme Maxwell 243,-22.864459,-43.246976
EM PEDRO LESSA,BONSUCESSO,"Rua Adail, 49",-22.86047,-43.25428
