id_da_escola,nome_da_escola,tipo_da_escola,logradouro,numero,bairro,subprefeitura,latitude,longitude,quantidade_de_material
477,EM PAULO MARANHAO,EM,RUA DO GOVERNO, 866,REALENGO,GRANDE BANGU,-22.892991,-43.441219,187
641,EM LAURO MULLER,EM,RUA ROSA DE ALMEIDA, 113,PADRE MIGUEL,GRANDE BANGU,-22.882073,-43.44644,269
689,EM MOACIR PADILHA,EM,RUA GENERAL GOMES DE CASTRO, 30,PADRE MIGUEL,GRANDE BANGU,-22.868766,-43.450652,571
576,EM CORYNTHO DA FONSECA,EM,RUA URUQUE, SN,REALENGO,GRANDE BANGU,-22.858945,-43.443874,148
520,EM BARONESA DE SAAVEDRA,EM,RUA MAL BIBIANO COSTALAT, 483-639,REALENGO,GRANDE BANGU,-22.87185,-43.432432,136
308,CIEP THOMAS JEFFERSON,CIEP,ESTRADA DO ENGENHO NOVO, SN,REALENGO,GRANDE BANGU,-22.866522,-43.425149,400
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,EM,AVENIDA CANAL, SN,REALENGO,GRANDE BANGU,-22.883457,-43.429451,235
568,EM VISCONDE DE PORTO SEGURO,EM,RUA TEOFILO GUIMARAES, 604,JARDIM SULACAP,GRANDE BANGU,-22.889076,-43.39248,362
495,EM. ENGENHEIRO LAFAYETTE DE ANDRADA,EM,AVENIDA DUQUE DE CAXIAS, 170,DEODORO,GRANDE BANGU,-22.856087,-43.386608,128
023,EM CERVANTES,EM,RUA ABILIO DOS SANTOS, 170,BENTO RIBEIRO,ZONA NORTE,-22.86459,-43.365952,342
031,E.M. PARA,EM,AVENIDA DOS ITALIANOS, 500,ROCHA MIRANDA,ZONA NORTE,-22.851963,-43.34949,115
248,E.M. ASPIRANTE CARLOS ALFREDO,EM,RUA IBIA, 105,TURIACU,ZONA NORTE,-22.860846,-43.34455,513
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,EM,RUA AGOSTINHO BARBALHO, 401,MADUREIRA,ZONA NORTE,-22.876082,-43.343369,468
514,EM PARANA,EM,AVENIDA ERNANI CARDOSO, 316,CASCADURA,ZONA NORTE,-22.882408,-43.338111,534
